name,price,location,condition,mileage
Mercedes-Benz E350 Base 4Matic Wagon AWD (3.5L 6cyl 7A) 2011 Purple,"₦ 8,925,000","Lagos State, Magodo",Local Used,125114 km
Mercedes-Benz M Class ML63 AMG 4dr SUV AWD (5.5L 8cyl Turbo 7A) 2014,"₦ 16,548,000","Lagos State, Lekki",Local Used,102757 km
Acura MDX Technology Package AWD (3.7L 6cyl 5A) 2009 Black,"₦ 5,880,000","Lagos State, Lekki",Local Used,123652 km
Toyota Prius 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT) 2016,"₦ 15,750,000","Abuja (FCT), Wuse",Foreign Used,361341 km
Mercedes-Benz E300 2018 Black,"₦ 24,360,000","Lagos State, Lekki",Local Used,49628 km
Honda Accord LX 4dr Sedan FWD (2.4L 4cyl 2A) 2013 Black,"₦ 8,400,000","Lagos State, Lekki",Local Used,76953 km
Toyota Highlander 2002 Gold,"₦ 4,452,000","Lagos State, Kosofe",Local Used,118454 km
Lexus RX 330 2004 Silver,"₦ 6,825,000","Lagos State, Abule Egba",Local Used,178445 km
Toyota Highlander 2013 Black,"₦ 9,450,000","Lagos State, Ikoyi",Local Used,182405 km
Toyota Camry 2012 White,"₦ 6,300,000","Ondo State, Akure",Local Used,253849 km
Toyota Venza V6 2011 Black,"₦ 11,602,500","Lagos State, Lekki",Local Used,103483 km
Honda Accord 2009 White,"₦ 4,515,000","Lagos State, Ojodu",Local Used,204374 km
Toyota Fortuner 2010 Black,"₦ 15,750,000","Lagos State, Ikoyi",Local Used,195092 km
Lexus NX 2016 Gray,"₦ 21,630,000","Lagos State, Ajah",Local Used,310039 km
Hyundai Sonata 2011 Silver,"₦ 5,586,000","Lagos State, Ilupeju",Local Used,120343 km
Honda Accord 2013 Gold,"₦ 7,455,000","Lagos State, Ajah",Local Used,138717 km
Mercedes-Benz CLA-Class 2014 White,"₦ 10,500,000","Lagos State, Ikorodu",Local Used,15231 km
Toyota Camry 2012 Blue,"₦ 8,946,000","Lagos State, Lekki",Local Used,194842 km
Lexus GS 2008 Red,"₦ 6,760,000","Lagos State, Amuwo-Odofin",Local Used,217915 km
Volkswagen Jetta 2007 Silver,"₦ 3,780,000","Lagos State, Isolo",Local Used,235930 km
Toyota Venza V6 2010 White,"₦ 12,600,000","Lagos State, Lekki",Foreign Used,246461 km
Mercedes-Benz C300 2016 White,"₦ 13,650,000","Abuja (FCT), Wuse",Local Used,118167 km
Toyota Corolla 2009 Green,"₦ 6,825,000","Lagos State, Ikorodu",Local Used,92806 km
Nissan Frontier 2004 Black,"₦ 3,675,000","Lagos State, Lekki",Local Used,225293 km
Toyota Avalon 2005 Black,"₦ 3,780,000","Lagos State, Kosofe",Local Used,127989 km
Mercedes-Benz E400 2018 Red,"₦ 52,211,250","Lagos State, Lekki",Foreign Used,137003 km
Toyota Camry 2004 Gray,"₦ 4,410,000","Lagos State, Alimosho",Local Used,157081 km
Toyota RAV4 2014 Silver,"₦ 12,600,000","Ogun State, Abeokuta North",Local Used,107666 km
Chevrolet Equinox 2010 Black,"₦ 5,775,000","Kaduna State, Kachia",Local Used,142673 km
Mercedes-Benz CLA-Class 2021 White,"₦ 47,250,000","Abuja (FCT), Jabi",Foreign Used,64325 km
Toyota Highlander Hybrid 2006 Silver,"₦ 7,140,000","Lagos State, Alimosho",Local Used,383890 km
Mercedes-Benz GLC-Class 2016 White,"₦ 26,250,000","Lagos State, Ikoyi",Local Used,84710 km
Lexus RX 350 2019 Black,"₦ 33,600,000","Lagos State, Lekki",Foreign Used,79306 km
Honda Accord 2016 White,"₦ 10,185,000","Lagos State, Yaba",Local Used,78508 km
BMW 528i 2012 White,"₦ 9,450,000","Lagos State, Lekki",Local Used,508973 km
Toyota Avalon Limited 2006 Black,"₦ 3,989,998","Lagos State, Lekki",Local Used,483823 km
Acura RDX 2008 Black,"₦ 4,725,000","Lagos State, Ilupeju",Local Used,213888 km
Hyundai Sonata 2016 Gray,"₦ 10,040,625","Lagos State, Lekki",Local Used,181805 km
Dongfeng Nammi 01 2025 Blue,"₦ 39,900,000","Lagos State, Lekki",Foreign Used,151 km
Honda Pilot 2009 Gray,"₦ 6,426,000","Lagos State, Lekki",Local Used,169930 km
Audi A6 2015 Black,"₦ 12,600,000","Lagos State, Lekki",Local Used,62213 km
JAC S2 2018 Silver,"₦ 7,875,000","Lagos State, Ikeja",Local Used,128381 km
Mercedes-Benz C300 2008 Gray,"₦ 6,403,687","Lagos State, Ikeja",Local Used,324994 km
Volvo 240 1983 Red,"₦ 7,350,000","Lagos State, Ikorodu",Local Used,185234 km
Toyota Corolla XLE 4dr Sedan (1.8L 4cyl 4A) 2009 Gray,"₦ 4,725,000","Imo State, Owerri",Local Used,213313 km
Hyundai Sonata Limited 2.0T Sedan (2.0L 4cyl 6A) 2011 Black,"₦ 6,849,937","Lagos State, Ikorodu",Local Used,118033 km
Toyota Corolla 2007 Silver,"₦ 4,935,000","Edo State, Benin City",Local Used,203650 km
Toyota Avalon 2006 Black,"₦ 3,990,000","Lagos State, Yaba",Local Used,274941 km
Toyota Venza 2010 Gray,"₦ 11,025,000","Lagos State, Abule Egba",Local Used,150629 km
Honda Accord 2013 Blue,"₦ 8,925,000","Lagos State, Surulere",Local Used,149020 km
Toyota 4-Runner 2008 Gold,"₦ 7,800,000","Lagos State, Surulere",Local Used,157900 km
Nissan Altima 2008 Blue,"₦ 3,570,000","Lagos State, Ilupeju",Local Used,41761 km
Toyota RAV4 2010 Gray,"₦ 6,825,000","Lagos State, Ikorodu",Local Used,185231 km
Lexus RX 350 2011 Gold,"₦ 15,434,998","Lagos State, Magodo",Foreign Used,202739 km
Mercedes-Benz GL-Class 2008 Black,"₦ 5,985,000","Lagos State, Ikotun/Igando",Local Used,29705 km
Toyota RAV4 2020 Gray,"₦ 26,250,000","Lagos State, Ikoyi",Local Used,80179 km
Toyota Tacoma 2004 Silver,"₦ 5,775,000","Lagos State, Abule Egba",Local Used,228369 km
BMW 550i 2009 Black,"₦ 8,400,000","Lagos State, Lekki",Foreign Used,415177 km
Nissan Sentra 2013 Red,"₦ 4,889,850","Lagos State, Ogudu",Local Used,173574 km
Ford Edge 2011 Silver,"₦ 5,586,000","Lagos State, Ojodu",Local Used,252232 km
Lexus RX 2009 Blue,"₦ 15,288,000","Lagos State, Alimosho",Foreign Used,240222 km
Ford Explorer 2016 Black,"₦ 20,370,000","Lagos State, Ojodu",Foreign Used,202974 km
Lexus ES 2010 Black,"₦ 8,400,000","Abuja (FCT), Garki 2",Local Used,318951 km
Lexus IS 2007 Red,"₦ 10,500,000","Lagos State, Lekki",Foreign Used,136162 km
Hyundai Elantra 2018 White,"₦ 12,476,415","Abuja (FCT), Kubwa",Foreign Used,61802 km
Toyota Corolla 2015 Silver,"₦ 16,640,000","Oyo State, Ibadan",Foreign Used,300613 km
Dongfeng Nammi 01 2025 Blue,"₦ 39,900,000","Lagos State, Lekki",Foreign Used,151 km
Lexus GX 2006 Gold,"₦ 7,875,000","Lagos State, Surulere",Local Used,198164 km
Lexus RX 350 2015 Red,"₦ 27,090,000","Lagos State, Amuwo-Odofin",Foreign Used,129316 km
Lexus RX 350 2014 Red,"₦ 23,625,000","Lagos State, Isolo",Foreign Used,97577 km
Lexus RX 350 2014 Gray,"₦ 29,120,000","Abuja (FCT), Lugbe District",Foreign Used,245514 km
Lexus RX 350 2016 Gold,"₦ 47,840,000","Lagos State, Ikeja",Foreign Used,64258 km
Land Rover Range Rover Velar 2018 Black,"₦ 52,500,000","Lagos State, Lekki",Foreign Used,82206 km
Toyota Corolla 2015 Silver,"₦ 15,600,000","Oyo State, Ibadan",Foreign Used,195309 km
Toyota Camry 2011 Silver,"₦ 12,168,000","Oyo State, Ibadan",Foreign Used,272706 km
Toyota Camry 2008 Black,"₦ 7,280,000","Lagos State, Alimosho",Local Used,135571 km
Jeep Patriot 2015 Red,"₦ 5,250,000","Lagos State, Ikeja",Local Used,156117 km
Toyota Sienna 2007 Gold,"₦ 5,880,000","Abuja (FCT), Gwarinpa",Local Used,202349 km
Toyota 4-Runner 2003 Black,"₦ 4,114,950","Abuja (FCT), Lugbe District",Local Used,96509 km
Toyota Camry 2009 Gray,"₦ 6,069,000","Lagos State, Ikeja",Local Used,185149 km
Toyota RAV4 2006 Gray,"₦ 7,280,000","Lagos State, Ajah",Local Used,353073 km
Ford Explorer 2013 Red,"₦ 9,672,000","Lagos State, Kosofe",Local Used,221807 km
Ford Edge 2012 Silver,"₦ 6,435,450","Abuja (FCT), Kubwa",Local Used,305185 km
Toyota Venza 2010 Black,"₦ 11,287,500","Lagos State, Surulere",Local Used,382749 km
Mercedes-Benz C300 2013 Black,"₦ 9,817,500","Lagos State, Yaba",Local Used,179393 km
Toyota Corolla 2014 Black,"₦ 7,875,000","Abuja (FCT), Lugbe District",Local Used,158715 km
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Green,"₦ 6,300,000","Lagos State, Lekki",Local Used,365745 km
Hyundai Santa Fe 2014 Black,"₦ 11,870,250","Lagos State, Lekki",Local Used,87963 km
Ford Edge 2011 Purple,"₦ 5,544,000","Lagos State, Alimosho",Local Used,202056 km
Toyota RAV4 2007 Black,"₦ 5,250,000","Abia State, Aba North",Local Used,207633 km
Toyota Venza 2012 Green,"₦ 18,480,000","Lagos State, Ojodu",Foreign Used,235800 km
Nissan Rogue 2012 Silver,"₦ 12,480,000","Lagos State, Ikeja",Foreign Used,217909 km
Ford Transit 2011 White,"₦ 8,925,000","Oyo State, Ibadan",Foreign Used,107916 km
Hyundai Santa Fe 2016 Blue,"₦ 13,650,000","Lagos State, Mushin",Local Used,135077 km
Lexus ES 2009 White,"₦ 7,434,000","Lagos State, Alimosho",Local Used,133226 km
Ford Escape 2013 Gold,"₦ 9,975,000","Lagos State, Ikotun/Igando",Foreign Used,310811 km
Hyundai Santa Fe 2014 Black,"₦ 13,650,000","Abuja (FCT), Kubwa",Local Used,183624 km
Mercedes-Benz GLK-Class 2013 Black,"₦ 21,525,000","Enugu State, Enugu",Foreign Used,220947 km
Toyota Camry 2013 Silver,"₦ 14,560,000","Oyo State, Ibadan",Foreign Used,234776 km
Lexus RX 350 2018 Blue,"₦ 48,300,000","Edo State, Benin City",Foreign Used,66545 km
Hyundai Tucson 2016 Black,"₦ 14,694,750","Abuja (FCT), Kubwa",Local Used,106046 km
Mercedes-Benz GL-Class 2012 Gray,"₦ 12,272,000","Abuja (FCT), Garki 2",Local Used,147109 km
Acura MDX 2004 Gray,"₦ 6,825,000","Oyo State, Ibadan",Foreign Used,144733 km
Lexus RX 350 2011 Gold,"₦ 15,434,998","Lagos State, Magodo",Foreign Used,202739 km
Dodge Caliber 2010 Blue,"₦ 7,140,000","Lagos State, Abule Egba",Foreign Used,176841 km
